cont,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
26,0.5909737803,0.7012709743,0.4713442229,0.8485188778,0.4514091558,0.1193679428,0.03351839622,0.7842636907,0.6287775241,0.2141638214,0.6149187863,0.1476674835,0.03312071525,0.9549628925,0.04767159567,0.006451611809,0.1647605432,0.1648783977,0.05452807403,1
27,0.5511805515,0.5282475622,0.5081445019,0.8908820224,0.4542352304,0.08493991259,0.009385412115,0.6723950064,0.5469438324,0.4576697393,0.6122846916,0.4121082618,0.03122085049,0.6945718509,0.1110218495,0.006451611809,0.03216583274,0.0321888412,0.4261749619,1
28,0.562150296,0.5225358599,0.493468973,0.8548111405,0.4345077431,0.05928775012,0.004652961802,0.7196045006,0.6235304496,0.4813664607,0.604347585,0.3541850242,0.03329011261,0.9044498746,0.09860278775,0.006451611809,0.03073624017,0.03075822604,0.4126862947,1
29,0.5417784882,0.5251180426,0.5232821214,0.9089361425,0.45600708,0.07686372911,0.0077411557,0.4703765569,0.3430888044,0.4770642214,0.6666235393,0.3901888668,0.03738544218,0.4242955931,0.07696976376,0.006451611809,0.02287348106,0.02288984263,0.3531212103,1
30,0.574428698,0.58777219,0.3743246435,0.743610105,0.4505314842,0.02151203718,0.001113175453,0.963924821,0.9561022171,0.77419355,0.5368128149,0.06504137138,0.03337507118,0.5796770831,0.08602074596,0.006451611809,0.0464617584,0.04649499285,0.2052246558,1
31,0.5943444745,0.5267010042,0.4930689296,0.8768361033,0.4562865797,0.09079742537,0.01112851376,0.7279110962,0.6494933049,0.4536423857,0.6011329143,0.3962988446,0.03861655924,0.9815257701,0.09040749586,0.006451611809,0.02859185132,0.02861230329,0.3566165122,1
32,0.5498739888,0.5323360111,0.529419266,0.9265043678,0.4666660145,0.1039434764,0.01498856388,0.5674978181,0.4553424468,0.4800399214,0.6436334447,0.4237947334,0.03493438113,0.7128612222,0.08474950341,0.006451611809,0.02930664761,0.02932761087,0.2181922544,1
33,0.5486491204,0.5414427915,0.4989541988,0.8854320352,0.4585048219,0.07040875793,0.006150207347,0.5619196022,0.4960300782,0.4285714286,0.6396964672,0.379629038,0.03591623216,0.8345998441,0.2682129171,0.006451611809,0.1904932094,0.1906294707,0.2207441571,1
34,0.5650459104,0.5163194981,0.515857083,0.9105280566,0.4652714316,0.09025357959,0.01097905265,0.5628219884,0.468901402,0.4757536036,0.6361022213,0.3787963081,0.03380245789,0.7316807174,0.08038739664,0.006451611809,0.02859185132,0.02861230329,0.45314429,1
35,0.587244444,0.5429714993,0.4903315592,0.8520809545,0.4351217985,0.05354441938,0.003672453165,0.7498859227,0.6769408174,0.4772727286,0.5674674723,0.355295783,0.04444935547,0.3711387678,0.1237535362,0.006451611809,0.1190135811,0.1190987124,0.232542728,1
36,0.5041449023,0.5844754736,0.5495058779,0.7226178326,0.2480230256,0.0518836556,0.003262734485,0.6794099139,0.5533209389,0.4803788893,0.605802635,0.4788400339,0.03519993586,0.9044498746,0.07856985201,0.006451611809,0.02716225876,0.02718168813,0.3727985565,1
37,0.5483572207,0.5380455875,0.5366580333,0.9086398382,0.4418118853,0.1261491068,0.02218659713,0.5734889853,0.5373894838,0.4854014607,0.6284132111,0.4577253083,0.5735112917,0.391715603,0.0858088722,0.2817204293,0.02501786991,0.01931330472,0.24937446,1
38,0.4910647771,0.5266578753,0.5425215355,0.7115928167,0.2445914958,0.1215341547,0.01875358833,0.5390886322,0.48744442,0.4912689179,0.5837624205,0.4163813083,0.03600661001,0.4472496769,0.06104612668,0.006451611809,0.03109363831,0.03111587983,0.273954244,1
39,0.5537071843,0.5395778997,0.5203265801,0.8803484496,0.4313518043,0.0753017916,0.007430601748,0.7117443313,0.5926661978,0.47270955,0.6178987909,0.3952514238,0.03286789814,0.8345998441,0.1087004501,0.006451611809,0.04145818442,0.04148783977,0.1839945187,1
40,0.5166122631,0.5368528478,0.5300044071,0.8813302427,0.4222414325,0.08063634339,0.008915704161,0.6366201242,0.4805823815,0.4895267643,0.6235228779,0.4702451688,0.03122085049,0.9044498746,0.103680816,0.006451611809,0.03145103645,0.03147353362,0.2930383241,1
41,0.5138537966,0.4415273206,0.3920190437,0.7392041086,0.4278599213,0.07117970179,0.008563682594,0.830127853,0.7134720271,0.4331883143,0.5077568935,0.1427926829,0.03170807567,0.7915609341,0.1149053992,0.006451611809,0.1908506076,0.1909871245,0.1019656336,1
42,0.4759598764,0.5960004925,0.4719127809,0.8096212643,0.41308965,0.05712132012,0.005254674756,0.8185799495,0.6888410214,0.4335394143,0.6016253859,0.2532864782,0.03018480672,0.8571440339,0.1395718384,0.006451611809,0.128663331,0.1287553648,0.1067947403,1
43,0.4966733517,0.5362010034,0.400036835,0.7312316499,0.4117905029,0.06392772734,0.00905474128,0.853510663,0.734927298,0.4332909786,0.5398956054,0.2198689558,0.03162646747,0.7915609341,0.2033304618,0.1784946228,0.2158684775,0.2124463519,0.129036451,1
44,0.5212068558,0.6271463214,0.4684141269,0.8030354908,0.4103396228,0.06297445647,0.00496790979,0.7720321266,0.6584433605,0.4332844571,0.6075167325,0.2534921507,0.0320361399,0.9044498746,0.06655902628,0.006451611809,0.02823445318,0.0282546495,0.2487772577,1
45,0.5134035645,0.4751977857,0.3829706281,0.6827811115,0.3825412413,0.09041073999,0.01592908732,0.8382118765,0.7430922168,0.4331665464,0.5143456084,0.2304938691,0.03105972873,0.9815257701,0.2399877764,0.006451611809,0.2387419585,0.2389127325,0.1493194168,1
46,0.493792256,0.4888219102,0.448596791,0.78738801,0.415767871,0.08320183457,0.0118297851,0.7962512235,0.6588062581,0.4329054857,0.5630542962,0.1367294781,0.03236683914,0.9292854426,0.08689078064,0.006451611809,0.06075768406,0.06080114449,0.1953048533,1
47,0.5331490283,0.5320542648,0.4469622047,0.800522797,0.430207407,0.04504412559,0.004252475412,0.8618709065,0.7390308935,0.4331370893,0.5868889066,0,0.03346019959,0.6262915295,0.05248690821,0.05806451509,0.03037884203,0.02932761087,0.1246653633,1
48,0.5076959288,0.5997499404,0.4217546826,0.7645674004,0.4215427252,0.05198767573,0.004692289181,0.8364193705,0.7154580021,0.4329475821,0.563342216,0.2517125596,0.03089923999,0.9815257701,0.1559339186,0.006451611809,0.3145103645,0.3147353362,0.09753327543,1
49,0.5578105274,0.4350763653,0.3492361697,0.6843341228,0.4191234543,0.05405022925,0.00626641692,0.9231455481,0.8562280907,0.2140221393,0.4652875115,0.1139229458,0.03312071525,0.1415012765,0.1688369013,0.05806451509,0.2130092924,0.2120886981,0.1855878309,1
50,0.5757955435,0.4670352174,0.3588826554,0.7085012525,0.4325340401,0.04078607229,0.003947653579,0.9370783859,0.8886579788,0.2149901393,0.4880621409,0.2378588516,0.04611371082,0.5948116459,0.2866181122,0.006451611809,0.2130092924,0.2131616595,0.2284367946,1
51,0.554451576,0.4074024857,0.3537420341,0.6828595071,0.4130081285,0.09484359165,0.01305099957,0.8620102431,0.8015677159,0.3664409321,0.4518765726,0.1932526413,0.03842490838,0.5505430541,0.2059412933,0.0236559129,0.2030021444,0.2027896996,0.2329018736,1
52,0.5623583757,0.4551638407,0.3662033713,0.686474047,0.4035571591,0.06136932913,0.008423301758,0.9296323473,0.8652140321,0.2147395179,0.4821364584,0.2517117028,0.06187747889,0.7510537314,0.3011895069,0.006451611809,0.2355253753,0.2356938484,0.2564839443,1
53,0.5782767837,0.4924341113,0.3656779669,0.6901710429,0.407689319,0.05525187435,0.006785888093,0.9366811448,0.8782520827,0.2144469536,0.4812833953,0.2952375655,0.08716135236,0.7128612222,0.3277687044,0.07526881619,0.2662616154,0.2650214592,0.1802025537,1
54,0.5554466022,0.5339363194,0.4136088473,0.7657899286,0.4311982536,0.04676064914,0.003872895509,0.8878726962,0.8035887641,0.2144659393,0.540648069,0.3113678135,0.07696270029,0.9815257701,0.2104798523,0.006451611809,0.1233023588,0.1233905579,0.2217600047,1
55,0.6051301617,0.5073833432,0.3546096028,0.7326867578,0.4604354942,0.05695585274,0.007240488653,0.9298484142,0.8715137286,0.2140762464,0.5018754874,0.2642054306,0.03034248032,0.9815257701,0.3093924394,0.006451611809,0.2480343102,0.248211731,0.29059874,1
56,0.6008520482,0.4978910802,0.3657339765,0.7143287939,0.431062644,0.0767923947,0.02102046435,0.9585397458,0.9016229369,0.2141119214,0.4981812276,0.2618989353,0.05919218991,0.9292854426,0.2657250056,0.006451611809,0.2280200143,0.2281831187,0.1712603158,1
57,0.7067058762,0.428621406,0.1232453795,0.7476410543,0.7155045493,0.05553447552,0.00489246703,0.793150822,0.6356121936,0.4210839786,0.3887413028,0.4136966364,0.05445553839,0.9549628925,0.1951288971,0.006451611809,0.1701215154,0.1702432046,0.2715876478,1
58,0.7021884789,0.462529146,0.2013501993,0.806409916,0.6912961837,0.03604415551,0.002248918651,0.8788452173,0.7728181294,0.4100418393,0.4546958814,0.4325172464,0.2627876113,0.8345998441,0.3732156256,0.006451611809,0.1962115797,0.1963519313,0.3960496485,1
59,0.5620815725,0.2827197775,0.1775001694,0.4398985561,0.3606006788,0.0112147682,0,0.9514993807,0.8903508602,0.041624875,0.2882317439,0.3393948465,0.03170807567,0.9044498746,0.3657610146,0.006451611809,0.1983559685,0.1984978541,0.3698782116,1
60,0.6372247427,0.412453868,0.230972431,0.6874292137,0.5450919345,0.06464470483,0.006487171277,0.862333162,0.7862404296,0.3995485321,0.4048169418,0.3250235603,0.07521660808,0.9549628925,0.187201617,0.006451611809,0.1962115797,0.1963519313,0.2431156783,1
61,0.5356747737,0.4511259133,0.4107499885,0.7300355096,0.399491163,0.04775265393,0.003512750925,0.8367837654,0.7112308425,0.3801513893,0.4917010505,0.3583767123,0.1212422982,0.9292854426,0.37589936,0.1956989238,0.2083631165,0.2045779685,0.375731966,1
62,0.6922313749,0.4570559892,0.3884779,0.822936107,0.5127568657,0.05188543106,0.004528064295,0.8304164792,0.6802206921,0.4038929429,0.4903347328,0.3004044718,0.08997162946,0.9044498746,0.2186419481,0.006451611809,0.2087205147,0.208869814,0.2009893452,1
63,0.7171684802,0.4745097415,0.3590917659,0.8278644891,0.5480917603,0.03808333791,0.002249960922,0.8545230367,0.7251519657,0.4139051321,0.5013639471,0.2649393804,0.03042155129,0.9815257701,0.2368000831,0.006451611809,0.227305218,0.2274678112,0.1789084498,1
64,0.6817567392,0.5281697719,0.4535730376,0.8957107442,0.5156602668,0.0415463677,0.002379263939,0.8414112606,0.6925686249,0.9606373,0.5794382554,0.337543635,0.03475826244,0.8345998441,0.2004603209,0.006451611809,0.2090779128,0.2092274678,0.2029417374,1
65,0.6680802152,0.4727984682,0.3959291526,0.8034625977,0.4861211886,0.04885050701,0.003893029935,0.8526273524,0.737926336,0.4017155107,0.4892221689,0.418343438,0.22788168,0.8345998441,0.1365261532,0.006451611809,0.1240171551,0.1241058655,0.1677202068,1
66,0.6455365161,0.4528687151,0.3922160142,0.7777783099,0.4650697674,0.04576033207,0.003246590259,0.8683450487,0.7564908115,0.3906950679,0.4806852287,0.3390571487,0.04679594238,0.8804154546,0.2141804485,0.006451611809,0.1854896355,0.1856223176,0.2008100437,1
67,0.2973324065,0.6027078155,0.5472938715,0.5976776194,0.1291385144,0.1104616038,0.01709400137,0.5823996429,0.3813997029,0.59353575,0.6043182877,0.4736890499,0.03220115757,0.8571440339,0.1933348047,0.2645161282,0.3162973553,0.3111587983,0.0232176226,1
68,0.353217885,0.6085421432,0.5189697151,0.6395002108,0.1991543605,0.05139684828,0.003872046823,0.747339572,0.455288168,0.5960365857,0.6067563118,0.3623909971,0.03178984855,0.9044498746,0.2730177617,0.1440860206,0.3002144389,0.2975679542,0.07956967265,1
69,0.3707171411,0.662526949,0.5915862985,0.753428448,0.2341537359,0.0422165067,0.002413172941,0.7054576505,0.3984155209,0.5902322821,0.6882074504,0.4142228211,0.03286789814,0.9292854426,0.1899997547,0.006451611809,0.234810579,0.2349785408,0.1027774054,1
70,0.4181212043,0.595242778,0.5073633939,0.6851084356,0.2554594325,0.06910086945,0.007220427629,0.760191278,0.5560895982,0.45299615,0.6063370928,0.4202959232,0.04510815497,0.8571440339,0.3527976861,0.006451611809,0.3127233738,0.3129470672,0.06260751552,1
71,0.4429211721,0.5503170882,0.5071552951,0.8265243111,0.3928406736,0.07656371535,0.008771448826,0.7034677095,0.4446963414,0.4627065643,0.622071686,0.4202206833,0.08446146274,0.5649256788,0.09880651234,0.006451611809,0.03073624017,0.03075822604,0.2161690118,1
72,0.4753114088,0.6822401505,0.4343425059,0.7712716956,0.4149571163,0.0500006422,0.004828211951,0.8062902953,0.6005134316,0.3294884643,0.6031330756,0.2584765239,0.05691093279,0.8345998441,0.2135763154,0.4709677414,0.2376697641,0.2281831187,0.02353516038,1
73,0.3580948634,0.7955419197,0.7490483025,0.8383203257,0.1527703518,0.04913196515,0.003012016512,0.6946180228,0.4341391834,0,0.7624975671,0.601908097,0.03081923235,0.9549628925,0.3590818805,0.1440860206,0.2555396712,0.2528612303,0.3607741728,1
74,0.4980900682,0.3672285178,0.3432851426,0.6688897192,0.4103309805,0.1138247037,0.01804509241,0.7132442867,0.5843362081,0.3009292357,0.4615229883,0.1406011098,0.03546714777,0.9044498746,0.06356212756,0.006451611809,0.0989992852,0.09907010014,0.04940077374,1
75,0.3439529489,0.7210225974,0.6339916406,0.7705874735,0.2067053939,0.03817181796,0.002517592027,0.7370190202,0.4037764194,0,0.7128868693,0.5297228876,0.05846893553,0.8127493209,0.2972118001,0.006451611809,0.3070050036,0.3072246066,0.2270918666,1
76,0.3935214429,0.6598795834,0.577928388,0.8879187533,0.3788022357,0.03670565136,0.001591415277,0.6722788384,0.3246944131,0.5935363571,0.6978457674,0.453846218,0.03555658895,0.7316807174,0.2690040042,0.2645161282,0.3034310222,0.2982832618,0.1362179482,1
77,0.3831461881,0.6891354256,0.6097142848,0.7955995727,0.2562083528,0.04181963433,0.00529358127,0.797975629,0.4849254929,0,0.6846960765,0.4292396081,0.04499772118,0.9292854426,0.6060648863,0.006451611809,0.3198713367,0.3201001431,0.3390312522,1
78,0.3864605001,0.7984720506,0.6732422816,0.8698996969,0.2622208416,0.08053053444,0.01008404073,0.7231817911,0.4665201657,0.8594401429,0.758774808,0.5686878217,0.05313941643,0.9292854426,0.20843081,0.3333333326,0.2919942816,0.2854077253,0.1284289255,1
79,0.3834573324,0.648057961,0.59905445,0.746753074,0.2199139117,0.04678842012,0.003367310793,0.8030132441,0.5901373273,0,0.6437394088,0.515300819,0.05211008886,0.8571440339,0.2709609662,0.006451611809,0.2998570407,0.3000715308,0.2043068118,1
80,0.4548909579,0.7146249289,0.54040972,0.8485274366,0.3796056145,0.04393181291,0.006749791561,0.8040927979,0.5346379846,0,0.6870384784,0.4603308133,0.07875805489,0.9815257701,0.5914455969,0.1612903217,0.3073624017,0.3043633763,0.3751364786,1
81,0.3158735468,0.6619120317,0.616606384,0.7224558705,0.1780972129,0.04299258537,0.002690831426,0.6926941647,0.3299233537,0.6624087607,0.6765513343,0.50411987,0.05211008886,0.9044498746,0.3488468328,0.2989247304,0.3116511794,0.3057939914,0.2207782829,1
82,0.4049441644,0.7729572646,0.6308821325,0.891441181,0.3271593584,0.03051450965,0.001561352822,0.7556059861,0.443744955,0,0.7418757574,0.6177398022,0.04305270609,0.9815257701,0.3685980239,0.3161290315,0.3012866333,0.2950643777,0.2778017447,1
83,0.3999542875,0.7904107412,0.5642827267,0.8341590119,0.3408468016,0.1981657984,0.08457038265,0.694367396,0.3500890423,0.3214702464,0.717544737,0.1374723585,0.03058015127,0.6945718509,0.05178510232,0.1956989238,0.01929949964,0.01537911302,0.1523666196,1
84,0.3670087521,0.7688686798,0.6224562247,0.8518753005,0.2975437951,0.1126694377,0.03711002527,0.774595786,0.3218132894,0.3214702464,0.7397165153,0.1397923925,0.03105972873,0.5228301953,0.04727714978,0.1956989238,0.01679771265,0.01287553648,0.1891177606,1
85,0.3456705838,0.7653171501,0.6189816726,0.8057659806,0.2564332553,0.1172451771,0.03349462097,0.7140591227,0.3076643369,0.3216374286,0.7182567067,0.05636316524,0.03329011261,0.6103444848,0.05422959292,0.1956989238,0.02966404575,0.02575107296,0.1133569207,1
86,0.4124613862,0.7801131592,0.6035031231,0.8672123959,0.3321266221,0.1477430409,0.05533887463,0.7859824129,0.427979407,0.3213264714,0.7291542344,0.1252121329,0.03065969057,0.8571440339,0.05219598316,0.1956989238,0.02966404575,0.02575107296,0.1429407272,1
87,0.3913069863,0.7890349045,0.5986312962,0.8649265644,0.3349750515,0.1978367998,0.08786764797,0.7620789079,0.343808384,0.3217488786,0.7345923518,0.04344365302,0.03034248032,0.6594963423,0.04750944749,0.1956989238,0.01644031451,0.01251788269,0.1059762641,1
88,0.377730483,0.764268934,0.6161259539,0.8596540649,0.3116707179,0.1132374827,0.03241081737,0.7238626861,0.3262615742,0.3213070107,0.7293376586,0.1513834617,0.03337507118,0.8345998441,0.07538313305,0.006451611809,0.09042172981,0.09048640916,0.1254818714,1
89,0.3507110437,0.7614842657,0.6618780186,0.8358148459,0.2409767479,0.1525566847,0.04896407982,0.7028752689,0.3205046862,0.321895425,0.7283025643,0.1424684743,0.03278396886,0.9044498746,0.08443792423,0.006451611809,0.1479628306,0.1480686695,0.08768972123,1
90,0.3734502026,0.8133531387,0.6295679799,0.8413265752,0.2799176219,0.1070799842,0.02417635469,0.6784772785,0.291200106,0.3218475071,0.7505274876,0.3100844573,0.04068000065,0.9815257701,0.09126020739,0.006451611809,0.09435310936,0.09442060086,0.09973724485,1
91,0.396153813,0.7977675469,0.6453510881,0.8618078489,0.2833725078,0.1760539272,0.0641877508,0.6876154023,0.336313159,0.3218475071,0.7528069033,0.09101054282,0.04179954139,0.2718458249,0.04669586142,0.1956989238,0.0189421015,0.01502145923,0.1359643376,1
92,0.3743529886,0.8293359054,0.6586481915,0.930804596,0.3364693368,0.1103406549,0.02466509675,0.7091325182,0.2738668449,0.3217761571,0.7883857387,0.09603931077,0.03097940201,0.5365155572,0.05132053266,0.1956989238,0.01715511079,0.01323319027,0.2622034908,1
93,0.631145618,0.4004073104,0.1881955258,0.6675133453,0.5702526475,0.6765127486,0.5122317601,0.6709087023,0.6525049177,0,0.3702975347,0.1954250242,0.03018480672,0.9815257701,0,0.006451611809,0,0,0,1
94,0.6488867687,0.3668919023,0.09119308789,0.6302898459,0.6350077821,0.8041693314,0.6896290549,0.6355112788,0.6409901182,0,0.3136501394,0.1776934122,0.03270020428,0.9292854426,0,0.006451611809,0,0,0,1
95,0.6495645728,0.3668849772,0.1009030938,0.6333207958,0.6278515019,0.7102586016,0.5450127906,0.6274900219,0.6698037359,0,0.3194460149,0.1117229144,0.0320361399,0.676790515,0,0.006451611809,0,0,0,1
96,0.66782859,0.3805767422,0.1832785949,0.6816688716,0.5890951042,0.7731366467,0.6195855459,0.5969899152,0.7037600797,0,0.3760993745,0.2053901566,0.03388846121,0.4131969149,0,0.006451611809,0,0,0,1
97,0.645491918,0.2008805246,0.03269041949,0.3761466757,0.449333226,0.4553954045,0.3065778455,0.6877064333,0.6510775801,0,0.2038258416,0.1747606832,0.03105972873,0.9549628925,0.00005634926682,0.006451611809,0.0003573981415,0.0003576537911,0.04663177683,1
98,0.6657548104,0.4235350147,0.3320442902,0.7023635903,0.4544864596,0.797004628,0.6841694018,0.6647007408,0.6793384073,0,0.4311962392,0.1912170842,0.03519993586,0.7710050395,0,0.006451611809,0,0,0,1
99,0.6752275165,0.3032331232,0.07026138235,0.5648946118,0.5933423914,0.5830897368,0.4399860585,0.8270683398,0.8073427191,0,0.2708812869,0.2484249033,0.03406099793,0.9549628925,0.000126115397,0.006451611809,0.0007147962831,0.0007153075823,0.05231857893,1
100,0.6511959833,0.3952764475,0.2427433536,0.6495743329,0.4961359962,0.643630353,0.4267956946,0.4776226703,0.5812158526,0,0.3806816898,0.1408012185,0.03097940201,0.9044498746,0,0.006451611809,0,0,0,1
101,0.7077928538,0.3584268325,0.05608365983,0.6463708103,0.6871108781,0.6858345858,0.4691687112,0.4693226456,0.645443028,0,0.3187446468,0.2161647862,0.03097940201,0.9044498746,0,0.006451611809,0,0,0,1
102,0.6412598679,0.3487355364,0.1172395405,0.5808347314,0.5599571325,0.6508163309,0.4516060117,0.6978641428,0.7197221615,0,0.2906216382,0.1428521158,0.04027961252,0.9815257701,0,0.006451611809,0,0,0,1
103,0.5011573573,0.5194645581,0.5027661077,0.8662386931,0.4359249543,0.06485526247,0.006249495422,0.7451938034,0.5548277856,0.4783362214,0.6145738588,0.3020822565,0.03929389646,0.9292854426,0.07062458606,0.006451611809,0.037884203,0.03791130186,0.1534596047,1
